Gene1,Gene2,Score
RARB,PAX9,0.0061175143
NR1H4,NR5A2,0.0060811383
TP63,USF3,0.006014838
ZNF672,ZNF492,0.006000236
FOXO3,GFI1B,0.0059930338
ZNF492,NCOA3,0.0059657465
RARB,SCML4,0.005964681
TBX3,FOXK1,0.0059438664
RARB,PAX3,0.005920449
ZNF518B,ESR2,0.005904166
NR1H4,HOXD10,0.0058337576
NR1H4,HOXD10,0.0058337576
FOXO3,ELF5,0.0058159465
FOXO3,SRCAP,0.0058107493
ZKSCAN3,ZNF391,0.0058015585
CENPA,HOXD3,0.00579849
GATA3,ESRRB,0.005785411
TP63,PRDM5,0.0057839965
ASCL3,HOXD13,0.005779715
ZKSCAN3,ELF5,0.0057758144
NR1I3,ZNF429,0.0057564904
ZNF215,ESR2,0.005752087
TP63,ZNF777,0.0057388353
SCML4,ESR2,0.005722488
SCML4,FOXP2,0.0057102884
ZNF672,NCOA3,0.0056687603
ESR2,TLX3,0.0056661833
PAX3,TCF21,0.005664792
ZSCAN12,HOXD12,0.005653965
SCML4,MYB,0.0056092893
GATA3,NR5A2,0.005601058
TP63,PAX9,0.005587707
PAX3,HOXD12,0.0055781715
HOXD10,ESR2,0.0055033835
HOXD10,ESR2,0.0055033835
RARB,ZNF777,0.0054944493
TP63,PAX3,0.0054922896
USF3,NR1H4,0.005461569
RARB,HNF1A,0.005451622
TBX3,NEUROG1,0.005450306
CRX,ESR2,0.005399123
ISX,PAX3,0.0053936513
GATA3,FOXP2,0.00538853
SCML4,ZNF181,0.005328739
ASCL3,NR1H4,0.005311608
ZNF41,USF3,0.0052784565
TP63,SCML4,0.0052683335
TBX3,HOXA13,0.0052532544
SCML4,USF3,0.0052377433
ELF5,FOXA1,0.005136915
ZSCAN12,ZNF316,0.0051266174
ELF5,FOXA1,0.005102294
GATA3,RBSN,0.005065508
PAX3,ZNF316,0.0050565763
GATA3,PAX9,0.00505191
HOXD10,ESR2,0.0050294874
ZNF625,FOXR2,0.005005981
NR1H4,ZNF23,0.005002814
ISX,HOXD3,0.004988185
ZKSCAN3,ELF5,0.0049863257
ZNF181,ESR2,0.004983513
SCML4,ESR2,0.004940221
ISX,TCF21,0.004919837
NR1H4,ZNF181,0.0049152942
TP63,HNF1A,0.004908789
NR1I3,HOXD12,0.004815021
CRX,SCML4,0.0048090634
ZNF625,SCML4,0.004783231
NR1I3,FOXP2,0.004768542
FOXO3,ZNF492,0.00471067
CENPA,ZFP90,0.004697331
CRX,ESR2,0.0046948325
ESR2,ZNF85,0.004693429
RARB,USF3,0.0046436065
FOXO3,PRDM14,0.0046352874
CRX,ZNF544,0.00457009
GATA3,FOXR2,0.004520146
TP63,USF3,0.0045172465
HOXD10,SCML4,0.004489299
NR1H4,ESR2,0.004437903
TP63,TCF21,0.0044236295
CRX,FOXG1,0.0043863934
NR1I3,ZNF316,0.0043793605
HOXD10,ESR2,0.0043717325
GATA3,SCML4,0.0043277093
RARB,LHX4,0.0042973123
RARB,GATA5,0.0042856047
GATA3,ESRRB,0.004280283
HOXD10,ZNF544,0.0042655077
ISX,HNF1A,0.0041793576
FOXO3,NCOA3,0.0041668834
ZNF492,TCF21,0.004148239
TP63,PRDM5,0.0041136392
HOXD10,FOXG1,0.004102122
ZNF41,ESR2,0.00407002
ZKSCAN3,GFI1B,0.0040653218
ZNF625,TCF21,0.0040623806
GATA3,ESR2,0.004049214
ZKSCAN3,ELF5,0.0040239245
CENPA,TLX3,0.004012471
HOXB1,ZNF391,0.0039887438
GATA3,HOXA13,0.003960656
ETS2,HOXA3,0.003951053
TP63,PAX3,0.0039303973
RARB,HNF1A,0.00392882
GATA3,ZNF777,0.0039169756
ZKSCAN3,SRCAP,0.003909472
ESR2,MTERF3,0.0038877677
SCML4,ZNF23,0.0038787979
ASCL3,ZNF578,0.0038424763
JRK,FOXP2,0.0038323451
ZNF672,TCF21,0.0038252466
SCML4,PGR,0.0037705705
TBX3,ZNF777,0.00373847
GATA3,PAX9,0.003735278
GATA3,RBSN,0.0037259506
ZSCAN12,LHX4,0.003701892
TP63,HNF1A,0.0036977371
ZNF625,NR5A2,0.003691939
HOXB1,ELF5,0.0036811677
USF3,FOXP2,0.0036751234
GATA3,TCF21,0.0036632612
PAX3,LHX4,0.0036539412
ZNF41,SCML4,0.0036529815
USF3,NR1H4,0.0036486466
TBX3,ZNF777,0.0036484508
CRX,NR1I2,0.003642507
TP63,HOXD3,0.003639886
ESR2,ZNF23,0.003613269
TP63,TCF21,0.0035672975
ELF5,FOXA1,0.0035593247
FOXO3,ZNF492,0.0035444077
FOXA1,FOXA1,0.0035413995
ZNF41,ESR2,0.0035362658
GATA3,ESRRB,0.0035206368
GLI4,TCF21,0.003517759
ZKSCAN3,GFI1B,0.0034815988
ZNF41,ZNF544,0.0034754353
ZKSCAN3,ELF5,0.0034475173
ESR2,SHOX,0.0034339174
HOXD10,NR1I2,0.0034016166
TBX3,ZSCAN30,0.003398427
GATA3,FOXK1,0.003393071
GATA3,NR5A2,0.0033893143
GATA3,NEUROG1,0.0033747691
CENPA,ZNF85,0.003372757
HOXA13,FOXP2,0.0033596824
ZNF41,FOXG1,0.0033587804
ZNF800,TCF21,0.0033562083
TBX3,IRF4,0.0033472835
ZKSCAN3,SRCAP,0.003342683
CRX,TCF21,0.003342321
CRX,SNAI3,0.0033199925
ZKSCAN3,PRDM14,0.0033087078
ETS2,TCF21,0.0033028978
HOXD3,MYB,0.0032987047
RARB,PRDM5,0.0032962332
ISX,LHX4,0.003257775
PRDM13,FOXP2,0.003245925
ISX,GATA5,0.0032454312
SCML4,HOXD3,0.0031763073
ESR2,ELF3,0.0031614513
RARB,NANOG,0.0031435068
TP63,HNF1A,0.0031398854
SCML4,HOXA13,0.0031389515
GATA3,ZNF777,0.003134052
CRX,ZNF578,0.0031195693
HOXD10,TCF21,0.0031162007
GLI4,ZNF391,0.003106751
TBX3,NR5A2,0.0030979468
HOXD10,SNAI3,0.0030954827
TP63,PRDM5,0.003076313
NR1I3,LHX4,0.0030697305
SCML4,ESR2,0.0030692942
GATA3,HOXA13,0.0030499902
TBX3,HOXA11,0.0030495191
ESR2,ZNF429,0.0030481075
IRF4,FOXP2,0.0030399908
FOXO3,NCOA3,0.0030095335
HOXD10,ZNF578,0.0029111316
FOXO3,TCF21,0.0029108326
GATA3,HOXA13,0.0029017597
ASCL3,NR1H4,0.00288265
GATA3,ZNF777,0.0028780785
CDX2,ZNF777,0.0028583014
SCML4,NR1H4,0.0028540022
TP63,PAX3,0.002834579
ZNF625,ESRRB,0.002834339
ZKSCAN3,PRDM14,0.0028288914
MTERF4,ESR2,0.0028251302
GLI4,FOXP2,0.0028160773
GLI4,FOXP2,0.0028160773
ESR2,TBX18,0.002814495
ASCL3,HOXD13,0.002791775
GLI4,ELF5,0.0027914643
RARB,HOXD3,0.002780839
ZNF41,NR1I2,0.0027756048
NR1H4,GATA3,0.0027723862
CENPA,MTERF3,0.002766163
SCML4,GATA3,0.0027469466
TBX3,ZSCAN30,0.002734097
TBX3,ZNF543,0.0027263437
TBX3,HOXA11,0.0027179513
PAX3,ZNF391,0.0027081887
TBX3,IRF4,0.0027004776
ESR2,ZNF280A,0.0026808963
TP63,TCF21,0.0026624796
HOXB1,ELF5,0.0026408036
GATA3,ESRRB,0.0026362613
POU1F1,TCF21,0.0026265488
TP63,HOXD3,0.0026213473
HOXB1,GFI1B,0.0026093086
RARB,TCF21,0.002608064
USF3,FOXP2,0.0025999572
PGR,NR1H4,0.0025926952
ESR2,TFAP2A,0.002589421
ESR2,NR5A2,0.0025851757
GATA3,ESRRB,0.0025711395
TP63,GATA5,0.0025700857
ZNF625,PAX9,0.0025599245
ESR2,FOXJ2,0.0025471249
TP63,LHX4,0.002538852
ZNF41,TCF21,0.0025347832
ZNF625,ZNF777,0.0025336803
ZKSCAN3,ZNF492,0.0025320952
SCML4,NR1I3,0.0025302435
PAX3,ELF5,0.002528783
ESR2,ZNF777,0.0025224413
ZNF41,SNAI3,0.0025160392
GATA3,PAX9,0.0025133744
ESR2,HOXD12,0.0025058424
TBX3,BNC1,0.0024991825
ZNF625,RBSN,0.0024861193
TBX3,NR5A2,0.0024848767
HOXB1,SRCAP,0.0024786994
GATA3,FOXK1,0.0024785674
SCML4,SHOX,0.0024705788
NR1H4,HOXA13,0.002470232
GATA3,NEUROG1,0.0024608967
MTERF4,FOXP2,0.0024565542
MYB,SHOX,0.0024251405
ZNF215,MYB,0.0024145402
SCML4,SCML4,0.00240129
SCML4,MYB,0.0023814838
ZNF41,ZNF578,0.0023742148
NR1H4,NR1I3,0.0023587416
GATA3,RBSN,0.0023493883
ISX,NANOG,0.0023481683
RARB,ZFP90,0.002313434
TP63,HNF1A,0.0022849122
HOXB1,PRDM14,0.0022769873
ESR2,ZNF316,0.0022744418
ZNF492,FOXA1,0.0022499808
TBX3,USF3,0.0022481135
GATA3,HOXA11,0.0022416026
CRX,ZNF777,0.0022384045
SCML4,NR1H4,0.0022307318
TBX3,ZNF543,0.0022261518
GATA3,HOXA13,0.0022179373
RARB,PAX3,0.002207243
CENPA,ZNF429,0.002198782
ZSCAN12,HOXA3,0.0021846916
ASCL3,NR1H4,0.002184226
HOXD10,ZNF777,0.002182329
GLI4,ESR2,0.0021775714
PAX3,HOXA3,0.0021603445
FOXO3,TCF21,0.002151598
ZKSCAN3,ZNF492,0.0021485516
MYB,ELF3,0.0021369674
TFAP2A,TCF21,0.0021258784
TP63,PAX3,0.002095797
TBX3,PAX3,0.0020864755
ISX,HOXD3,0.0020799588
TBX3,PAX9,0.0020674022
TFAP2A,FOXP2,0.002050884
ZNF41,ZNF777,0.0020489711
SCML4,ELF3,0.002036987
RARB,HOXD3,0.002033604
ZNF672,FOXA1,0.0020280906
TBX3,BNC1,0.0020232333
RARB,TLX3,0.002023162
CRX,FOXR2,0.0020215048
TBX3,USF3,0.0020161162
USF3,ESR2,0.0020005037
FOXP2,ZNF777,0.0019935388
TCF21,FOXP2,0.0019691715
ZNF23,ZNF777,0.0019627316
PGR,FOXP2,0.0019552435
GLI4,ELF5,0.001947465
TP63,NANOG,0.001941864
CRX,SCML4,0.0019357043
TP63,HOXD3,0.0019313314
NR1H4,NR1H4,0.0019302765
ZKSCAN3,NCOA3,0.0019297161
GLI4,GFI1B,0.0019277079
ZNF625,HOXA13,0.0019275013
ASCL3,ZNF777,0.0019268458
ZNF518B,MYB,0.0019197627
TP63,GATA5,0.0019069767
HOXD10,FOXR2,0.0018878595
NR2F2,FOXP2,0.0018862609
ESR2,ESR2,0.0018734167
TBX3,SCML4,0.0018731706
TP63,LHX4,0.0018700379
GLI4,SRCAP,0.0018451342
ASCL3,USF3,0.0018312277
GATA3,HOXA13,0.0018196157
HOXD10,SCML4,0.0018080652
MYB,TBX18,0.0018075298
PAX3,ELF5,0.0017917047
CENPA,HOXD12,0.0017916604
ESR2,FOXP2,0.0017864702
SCML4,ZNF215,0.0017634269
PAX3,GFI1B,0.001756559
RARB,ZNF85,0.0017516636
RARB,HNF1A,0.0017499793
HOXB1,ZNF492,0.0017375305
MYB,ZNF280A,0.001735341
ZSCAN12,TCF21,0.0017306315
ISX,ZFP90,0.0017283066
SCML4,ZNF518B,0.0017243046
KAT7,TCF21,0.001721681
TBX3,PAX3,0.0017145167
PAX3,TCF21,0.0017091939
ZNF625,ESRRB,0.0017053798
NR1I3,HOXA3,0.0016970177
SCML4,TBX18,0.0016957006
GATA3,HOXA11,0.0016902527
TBX3,PAX9,0.0016829986
TP63,HNF1A,0.0016768497
GATA3,USF3,0.0016703526
PAX3,SRCAP,0.0016683922
ZNF625,NEUROG1,0.0016638648
MYB,TFAP2A,0.0016583257
ZNF625,FOXK1,0.001651257
SCML4,ZNF280A,0.0016477015
GATA3,IRF4,0.0016354689
GATA3,ZSCAN30,0.0016317096
GATA3,NEUROG1,0.0016316521
GLI4,PRDM14,0.0016300296
CRX,TCF21,0.0016299876
CENPA,ZNF316,0.0016243267
ZKSCAN3,NCOA3,0.0016192866
MYB,FOXJ2,0.001618683
HOXD10,MYB,0.0016153614
GATA3,ESRRB,0.0016130097
TP63,HOXD3,0.0016105023
ESR2,LHX4,0.0015998984
MYB,NR5A2,0.0015973633
ZNF492,FOXA1,0.0015861358
SCML4,JRK,0.0015852088
MYB,ZNF23,0.0015788152
GATA3,FOXK1,0.0015716023
FOXO3,FOXA1,0.0015689402
ETS2,ZNF391,0.0015647894
SCML4,FOXJ2,0.0015639428
FOXO3,ZNF672,0.0015625622
MYB,HOXD10,0.0015499464
ZNF41,FOXR2,0.001547145
SCML4,TFAP2A,0.0015425443
NR1H4,FOXP2,0.0015367966
CRX,NR5A2,0.00153421
PAX3,PRDM14,0.0015324893
NR1H4,ZNF777,0.0015262689
HOXD10,TCF21,0.0015211675
NR1H4,JRK,0.001515515
TBX3,SCML4,0.0015059836
SCML4,NR5A2,0.001503567
NR1H4,NR1H4,0.0014843174
ISX,TLX3,0.0014841547
ZNF41,SCML4,0.0014828396
ZKSCAN3,TCF21,0.0014747748
ZNF625,HOXA13,0.0014726704
ETS2,ELF5,0.0014687427
GATA3,NR5A2,0.0014602802
TP63,NANOG,0.0014585756
ASCL3,ESR2,0.0014428289
USF3,ESR2,0.0014401239
HOXD10,NR5A2,0.0014351917
SCML4,HOXD10,0.0014269807
SCML4,HOXD10,0.0014269807
RARB,GATA5,0.0014224158
TBX3,HNF1A,0.001419912
ZNF672,FOXA1,0.0014141545
GATA3,HOXA13,0.0014124889
RARB,MTERF3,0.0014089523
RARB,LHX4,0.0014023059
TP63,ZFP90,0.0013932807
GATA3,ZNF543,0.0013899058
TP63,GATA5,0.0013892686
HOXD3,SHOX,0.0013841188
ASCL3,SCML4,0.0013818942
TP63,LHX4,0.0013607136
NR1I3,TCF21,0.0013544229
ZNF181,MYB,0.0013361794
ASCL3,ZNF544,0.0013189687
GATA3,HOXA11,0.001316596
CDX2,HOXD13,0.0013074912
ASCL3,FOXG1,0.0013072472
SCML4,USF3,0.0012854976
ISX,ZNF85,0.001275845
CRX,PAX9,0.0012720162
GATA3,USF3,0.0012679175
USF3,MYB,0.0012629835
SCML4,HOXD3,0.0012617782
ZNF215,HOXD3,0.0012609509
TP63,TLX3,0.0012531965
NR1H4,FOXP2,0.0012477438
ZNF41,TCF21,0.001246159
HOXD3,ELF3,0.0012449222
ASCL3,ESR2,0.001243731
FOXO3,FOXO3,0.0012394218
ZNF625,HOXA11,0.0012352567
GATA3,BNC1,0.0012350308
ZKSCAN3,TCF21,0.0012340219
GLI4,ZNF492,0.0012296055
NR1H4,PRDM13,0.0012273636
SCML4,TCF21,0.0012196074
RREB1,HOXD13,0.0012166162
CRX,ESRRB,0.0012056264
CDX2,NR1H4,0.0012040765
TBX3,TCF21,0.0012020328
HOXD10,PAX9,0.0012002628
ZNF41,NR5A2,0.0011837961
FOXO3,ZNF672,0.0011779437
TBX3,HNF1A,0.0011769336
HOXB1,NCOA3,0.0011752117
FOXO3,FOXA1,0.0011750092
GATA3,ZSCAN30,0.0011708116
GATA3,IRF4,0.0011707792
TP63,HOXD3,0.0011705507
PAX3,ZNF492,0.0011607109
RARB,ZNF429,0.0011517912
TBX3,PRDM5,0.0011499757
CENPA,LHX4,0.0011446734
SCML4,ZNF181,0.0011376527
HOXD10,ESRRB,0.0011292563
TP63,ZNF85,0.001125163
GATA3,PAX3,0.001104675
PGR,ESR2,0.0011043182
RREB1,NR1H4,0.001100569
FOXO3,FOXA1,0.0010984767
MYB,ESR2,0.0010973655
CRX,RBSN,0.0010920942
NR1H4,MTERF4,0.0010890913
SCML4,PRDM13,0.001072434
NR1H4,IRF4,0.0010688356
ASCL3,NR1I2,0.0010679517
RARB,NANOG,0.0010639
TBX3,TCF21,0.0010606045
TP63,NANOG,0.0010540617
GATA3,NR5A2,0.0010508648
MBD2,ZNF777,0.0010472564
GATA3,PAX9,0.0010471392
ETS2,ELF5,0.0010349597
TP63,ZFP90,0.0010349059
SCML4,IRF4,0.0010321863
RREB1,ZNF777,0.0010308389
HOXD3,TBX18,0.0010293737
HOXD10,RBSN,0.00102465
ESR2,NR1I3,0.0010235435
ISX,MTERF3,0.0010181827
USF3,FOXP2,0.0010172549
ZNF41,PAX9,0.0010155332
SCML4,ZNF23,0.0010130772
ZNF518B,HOXD3,0.0010117823
SCML4,ESR2,0.0010063119
ETS2,GFI1B,0.0010046427
GATA3,ZNF543,0.0010034139
RREB1,ZNF777,0.000996649
HOXD3,ZNF23,0.0009950654
GATA3,USF3,0.000994874
IKZF3,HOXD13,0.0009904442
RREB1,HOXD13,0.000986792
HOXD3,ZNF280A,0.0009803347
HOXB1,TCF21,0.00097262685
ZNF215,SHOX,0.00095598376
ETS2,SRCAP,0.0009559355
ESR2,HOXA3,0.0009499418
TBX3,PRDM5,0.00094614265
HOXD3,TFAP2A,0.00094437925
SCML4,SHOX,0.0009426034
TP63,TLX3,0.00093946623
CDX2,ZNF578,0.000938996
ZNF41,ESRRB,0.00093621016
ZNF625,USF3,0.0009349456
NR1H4,GLI4,0.00093333557
NR1H4,GLI4,0.00093333557
ASCL3,SNAI3,0.0009274185
RARB,HOXD12,0.00092238624
ASCL3,TCF21,0.0009179351
ZKSCAN3,FOXO3,0.000908112
HOXA11,FOXP2,0.0009055613
ASCL3,ZNF578,0.00089845416
HOXD3,FOXJ2,0.00089662784
SCML4,GLI4,0.00089635415
SCML4,GLI4,0.00089635415
HOXD3,NR5A2,0.00089372875
TP63,MTERF3,0.00089150976
IKZF3,NR1H4,0.0008912019
ETS2,PRDM14,0.0008909463
GATA3,SCML4,0.00088925054
RREB1,NR1H4,0.00088825595
NR1H4,ESR2,0.00088531966
GATA3,TCF21,0.00088119216
ZSCAN12,ELF5,0.00088095287
GATA3,BNC1,0.00088055676
HOXD3,HOXD10,0.0008762751
RREB1,ZNF777,0.00087505154
RARB,HOXD3,0.00087116554
PAX3,ELF5,0.00087106094
ZKSCAN3,ZNF672,0.0008592272
ELF3,SHOX,0.0008588683
TP63,ZNF85,0.0008577384
ZNF41,RBSN,0.00085368444
RREB1,HOXD13,0.0008492112
IKZF3,ZNF777,0.00084785855
HOXD10,HOXD3,0.0008418988
GLI4,NCOA3,0.00084170135
ZKSCAN3,FOXA1,0.000840758
TP63,HOXD3,0.00083789235
CRX,HOXA13,0.0008346308
RARB,ZNF316,0.00083450956
ZSCAN12,ZNF391,0.0008328532
LHX4,FOXP2,0.00082666235
FOXO3,FOXA1,0.0008249364
ISX,ZNF429,0.0008234061
PAX3,ZNF391,0.0008224514
SCML4,TCF21,0.0008183254
ZNF215,ELF3,0.00081734156
RREB1,ZNF578,0.0008074378
CDX2,ESR2,0.000804688
CRX,HOXA11,0.00080238254
TBX3,PAX3,0.00079712755
CRX,NEUROG1,0.0007967634
SCML4,ELF3,0.00079323386
SCML4,USF3,0.0007864352
GATA3,PAX3,0.00078548066
ZNF625,ZSCAN30,0.0007835638
HOXD10,HOXA13,0.00078261126
ZNF625,IRF4,0.00078229775
GATA3,HNF1A,0.00078183605
GATA3,IRF4,0.0007691958
HOXD10,HOXA11,0.0007678838
RREB1,NR1H4,0.0007669514
GATA3,ZSCAN30,0.00076593546
TBX18,SHOX,0.0007646858
USF3,MYB,0.00075554854
ZNF518B,SHOX,0.00075372664
RARB,ZFP90,0.00075346266
ZKSCAN3,FOXO3,0.0007528874
TP63,ZNF429,0.00075270125
HOXD10,NEUROG1,0.00075023563
ELF3,ZNF23,0.0007497093
PAX3,NCOA3,0.00074522075
GATA3,PAX9,0.0007443463
CRX,ESRRB,0.00073660817
ESR2,TCF21,0.0007358845
NR1H4,ESR2,0.0007341295
TP63,ZFP90,0.00073288946
TBX3,HOXD3,0.00073034986
ZNF280A,SHOX,0.000728614
LHX4,ESR2,0.0007282232
CRX,FOXK1,0.000726401
ESR2,HOXA13,0.0007253661
FOXJ2,SHOX,0.0007233046
CREB1,ZNF777,0.00071537046
SCML4,ZNF777,0.0007131993
ZBTB10,ESR2,0.0007131521
ZKSCAN3,ZNF672,0.000711271
TCF21,FOXP2,0.00070741674
CENPA,HOXA3,0.0007048985
TBX1,FOXP2,0.00070176664
HOXD3,ZNF181,0.0007009285
SCML4,MTERF4,0.0007008363
TBX18,ELF3,0.00070019905
ZNF625,NR5A2,0.0006960253
ZKSCAN3,FOXA1,0.00069554785
HOXD10,ESRRB,0.0006905878
ESR2,JRK,0.0006884817
ZNF518B,ELF3,0.00068842986
ZNF215,ZNF518B,0.00068726594
ZNF41,HOXA11,0.0006817683
HOXD10,FOXK1,0.00068168447
ZNF215,TBX18,0.0006812633
CDX2,NR1H4,0.000677303
GLI4,TCF21,0.00067683414
GATA3,NR5A2,0.00067436724
ZNF625,ZNF543,0.00067432993
TP63,MTERF3,0.0006737945
ZNF517,ZNF777,0.00067335827
RARB,TLX3,0.00067144545
TP63,TLX3,0.00066816976
NR5A2,SHOX,0.00066773465
TFAP2A,SHOX,0.0006664291
GATA3,ZNF543,0.00066642434
ZNF280A,ELF3,0.00066357525
ETS2,ZNF492,0.00066274137
TBX3,PAX3,0.0006626431
CRX,HOXA13,0.0006566644
ISX,HOXD12,0.0006532061
ZNF41,HOXA13,0.0006521717
NR1I3,ELF5,0.0006519094
MYB,GATA3,0.00065125333
ZNF215,ZNF280A,0.00065093965
SCML4,ZNF518B,0.0006492046
RREB1,ZNF578,0.0006489828
ZSCAN12,ELF5,0.00064885203
HOXB1,FOXO3,0.0006480344
ZBTB10,FOXP2,0.0006478874
CDX2,HOXD13,0.00064673624
TBX18,ZNF23,0.0006466761
IKZF3,ZNF578,0.0006458037
TBX3,HNF1A,0.00064416276
ZFP57,TCF21,0.0006427094
PAX3,ELF5,0.0006418472
USF3,HOXD3,0.0006393986
SCML4,TBX18,0.00063861476
NR1I3,ZNF391,0.00063470716
GATA3,SCML4,0.00063464476
ZNF41,NEUROG1,0.00063235895
ZNF518B,ZNF23,0.0006315678
GATA3,TCF21,0.0006272736
PAX3,TCF21,0.00062407466
HOXD10,SHOX,0.00062250934
HOXD10,SHOX,0.00062250934
SCML4,ZNF215,0.0006199427
ESR2,PRDM13,0.00061986205
TFAP2A,ELF3,0.0006167964
HOXD10,HOXA13,0.0006161559
SCML4,ZNF280A,0.0006148129
ZNF215,TFAP2A,0.0006146201
GATA3,PRDM5,0.00061176374
HOXB1,ZNF672,0.0006094214
TP63,ZNF85,0.0006093392
ZNF215,FOXJ2,0.0006091514
CRX,USF3,0.00060908025
ZSCAN12,GFI1B,0.0006084174
TBX3,HOXD3,0.0006067297
ZNF280A,ZNF23,0.0006045996
RARB,ZNF85,0.00060278026
PAX3,GFI1B,0.00060162373
ZKSCAN3,FOXA1,0.0005991597
ZNF215,NR5A2,0.00059790583
TP63,HOXD12,0.0005964553
TFAP2A,ZNF23,0.0005964061
HOXD3,ESR2,0.00059453404
ZSCAN12,PRDM14,0.0005936533
ZNF625,BNC1,0.0005913033
RARB,LHX4,0.0005904816
ZNF215,ZNF23,0.0005899033
ISX,ZNF316,0.00058876956
PAX3,PRDM14,0.0005880534
TBX1,ESR2,0.00058776
MTERF4,ZNF777,0.00058718777
ASCL3,FOXR2,0.00058638776
RREB1,NR1H4,0.00058601925
FIGLA,ZNF777,0.00058600644
HOXB1,FOXA1,0.0005852136
GATA3,BNC1,0.0005849186
HOXD10,USF3,0.0005838778
SCML4,TFAP2A,0.0005803071
ZNF41,ESRRB,0.00057565543
HOXD10,ELF3,0.000575549
HOXD10,ELF3,0.000575549
TP63,ZNF429,0.0005752932
NR1H4,TFAP2A,0.0005740293
ZNF215,HOXD10,0.0005699508
ZNF215,HOXD10,0.0005699508
ZNF41,FOXK1,0.0005698968
SCML4,FOXJ2,0.0005680516
ZSCAN12,SRCAP,0.0005679363
RREB1,ZNF578,0.0005679319
ZBED2,ZNF777,0.00056535733
SCML4,TCF21,0.00056501874
TCF21,FOXP2,0.0005648763
ASCL3,SCML4,0.0005635179
ZNF518B,TBX18,0.0005622671
HOXD10,ZNF23,0.00056193466
HOXD10,ZNF23,0.00056193466
RREB1,HOXD13,0.00056155154
PAX3,SRCAP,0.00056131475
SCML4,HOXA13,0.00055878
MYCN,FOXP2,0.00055586686
ELF3,NR5A2,0.00055531797
CDX2,NR1H4,0.0005527739
GATA3,HNF1A,0.00055193284
SCML4,NR5A2,0.0005507507
ELF3,FOXJ2,0.0005501083
MYB,ZNF777,0.00054602243
TBX3,GATA5,0.0005440092
ZNF280A,TBX18,0.0005417363
TBX22,FOXP2,0.00054171745
NR1H4,TCF21,0.00054145884
GATA3,PAX3,0.000540192
TBX3,HNF1A,0.00053875893
TP63,ZNF316,0.0005384409
CENPA,TCF21,0.00053764315
ZNF625,PAX3,0.0005345206
ZNF518B,ZNF280A,0.0005321874
SCML4,HOXD10,0.00053146505
SCML4,HOXD10,0.00053146505
MYB,HOXA13,0.00053114403
SCML4,PGR,0.0005277256
TBX3,LHX4,0.0005271193
SCML4,TBX22,0.0005265147
TBX18,TFAP2A,0.00052415
SCML4,GATA3,0.00052363815
ZNF41,USF3,0.00052249496
MYB,NR1I3,0.0005163781
ZNF518B,TFAP2A,0.00051516376
ZNF41,HOXA13,0.00051478605
ZKSCAN3,HOXB1,0.0005139957
SCML4,TFAP2A,0.0005125104
NR1H4,NR2F2,0.00051141484
ZKSCAN3,FOXO3,0.0005082689
ESR2,SHOX,0.00050682214
ESR2,IRF4,0.0005049699
SCML4,TBX1,0.00050397887
ZNF181,SHOX,0.0005031953
ZNF625,PAX9,0.0005012947
GATA3,PAX9,0.0005001356
GATA3,TCF21,0.00049949007
ZNF280A,TFAP2A,0.00049596146
ZKSCAN3,FOXA1,0.0004920034
TBX18,NR5A2,0.00048986526
PGR,MYB,0.0004893356
CDX2,USF3,0.00048907165
TBX18,FOXJ2,0.000487839
ASCL3,PAX9,0.0004870247
HNF4A,FOXP2,0.00048466242
ZNF518B,NR5A2,0.00048179898
ZNF518B,FOXJ2,0.00047992263
ZNF518B,HOXD10,0.0004766985
TP63,MTERF3,0.00047376804
ASCL3,TCF21,0.00047263948
ZNF181,ZNF23,0.00047103805
RARB,MTERF3,0.00047101136
RREB1,NR1H4,0.0004704276
HOXD10,ZNF518B,0.00046944525
NR1I3,ELF5,0.0004687298
HOXD10,TBX18,0.00046720088
HOXD10,TBX18,0.00046720088
ZNF181,ELF3,0.00046570736
IKZF3,NR1H4,0.00046507895
ASCL3,NR5A2,0.0004646633
ZNF280A,NR5A2,0.0004638585
TCF21,FOXP2,0.00046383266
USF3,SHOX,0.00046357495
ZNF280A,FOXJ2,0.00046277713
SCML4,NR2F2,0.00046245125
SCML4,MYCN,0.00046192564
TBX3,GATA5,0.0004600517
ESR2,ELF3,0.00045980397
ZNF148,ZNF777,0.00045468376
ZNF215,ZNF181,0.0004533676
TP63,HOXD12,0.00045331664
ASCL3,HOXA11,0.00045241136
ZNF625,TCF21,0.0004514608
RREB1,HOXD13,0.00045053265
ZNF23,SHOX,0.00044719945
ESR2,GLI4,0.000446915
RREB1,NR1H4,0.00044668012
ZSCAN12,ZNF492,0.0004463362
IKZF3,HOXD13,0.0004454387
GATA3,PAX3,0.00044408249
TBX3,LHX4,0.00044396883
SCML4,NR1I3,0.0004437676
ZIM3,ZNF777,0.00044204734
PAX3,ZNF492,0.00044185756
HOXD10,ZNF280A,0.000440967
HOXD10,ZNF280A,0.000440967
NR1I3,GFI1B,0.00044024875
NR1H4,ESR2,0.0004399595
SCML4,ZNF23,0.00043909808
ESR2,ZNF23,0.00043801093
CDX2,SCML4,0.00043785645
SCML4,HNF4A,0.00043755627
CDX2,FOXG1,0.00043711913
TFAP2A,ZNF777,0.0004353792
GLI4,FOXO3,0.00043202072
GATA3,PRDM5,0.00042934244
HOXD10,TFAP2A,0.00042875658
