Gene1,Gene2,Score
NR5A2,ZNF578,1.0
ZNF544,HOXD13,1.0
ZNF544,HOXD13,1.0
HOXD13,HOXD13,1.0
NR5A2,ZNF578,1.0
ZNF543,USF3,1.0
ZNF543,ZNF578,1.0
ZNF543,ZNF578,1.0
ZNF543,NR1H4,1.0
ZNF543,NR1H4,1.0
FOXK1,TCF21,1.0
FOXK1,ZNF543,1.0
ZNF543,NR1H4,1.0
ZNF543,ZNF544,1.0
IRF4,SNAI3,1.0
SCML4,SNAI3,1.0
ZNF543,HOXD13,1.0
ZNF543,HOXD13,1.0
NR5A2,NR5A2,1.0
NR5A2,FOXG1,1.0
NR5A2,SCML4,1.0
ZNF543,FOXG1,1.0
ZNF543,SCML4,1.0
ZNF316,TCF21,1.0
SNAI3,HOXD13,1.0
NEUROG1,ESR2,1.0
FOXK1,FOXR2,1.0
ZNF543,SCML4,1.0
ZNF543,FOXR2,1.0
ZNF543,NR1I2,1.0
ZNF543,TCF21,1.0
ZNF543,TCF21,1.0
ZNF543,ESR2,1.0
ZNF543,ESR2,1.0
ESRRB,ESR2,1.0
ESRRB,ESR2,1.0
HOXD3,ZNF544,1.0
ESRRB,USF3,1.0
ESRRB,ZNF578,1.0
ESRRB,ZNF578,1.0
ESRRB,NR1H4,1.0
ESRRB,NR1H4,1.0
TCF21,USF3,1.0
FOXK1,ZNF578,1.0
ESRRB,NR1H4,1.0
ESRRB,ZNF544,1.0
ESRRB,HOXD13,1.0
ESRRB,HOXD13,1.0
ZNF543,NR5A2,1.0
FOXK1,USF3,1.0
BNC1,FOXK1,1.0
NR1I2,SNAI3,1.0
ESRRB,ZNF544,1.0
ESRRB,HOXD13,1.0
ESRRB,HOXD13,1.0
ESRRB,ZNF543,1.0
ESRRB,NR5A2,1.0
ESRRB,FOXG1,1.0
ESRRB,SCML4,1.0
ESRRB,SCML4,1.0
ESRRB,SCML4,1.0
ESRRB,FOXR2,1.0
ESRRB,NR1I2,1.0
ESRRB,TCF21,1.0
ESRRB,TCF21,1.0
ESRRB,ESR2,1.0
ESRRB,USF3,1.0
ESRRB,ZNF578,1.0
TCF21,HOXD13,1.0
BNC1,TCF21,1.0
ESRRB,ZNF578,1.0
ESRRB,NR1H4,1.0
ESRRB,NR1H4,1.0
ESRRB,NR1H4,1.0
TCF21,ZNF544,1.0
PAX3,NR5A2,1.0
PAX3,FOXG1,1.0
PAX3,SCML4,1.0
PAX3,SCML4,1.0
PAX3,FOXR2,1.0
PAX3,NR1I2,1.0
PAX3,TCF21,1.0
PAX3,TCF21,1.0
PAX3,TCF21,1.0
ESRRB,ZNF543,1.0
ESRRB,NR5A2,1.0
ESRRB,NR5A2,1.0
ESRRB,FOXG1,1.0
SCML4,TCF21,1.0
ESRRB,SCML4,1.0
NR5A2,ZNF544,1.0
ESRRB,SCML4,1.0
ESRRB,SCML4,1.0
ESRRB,FOXR2,1.0
ESRRB,NR1I2,1.0
ESRRB,TCF21,1.0
ESRRB,TCF21,1.0
ESRRB,ESR2,1.0
HOXA13,ESR2,1.0
SNAI3,HOXD13,1.0
FOXK1,ESR2,1.0
HOXA13,USF3,1.0
HOXA13,ZNF578,1.0
HOXA13,ZNF578,1.0
HOXA13,NR1H4,1.0
HOXA13,NR1H4,1.0
HOXA13,NR1H4,1.0
HOXA13,HOXD13,1.0
HOXA13,HOXD13,1.0
ESRRB,ESRRB,1.0
HOXD3,FOXG1,1.0
HOXD3,SCML4,1.0
HOXD3,SCML4,1.0
HOXD3,FOXR2,1.0
HOXD3,NR1I2,1.0
HOXD3,TCF21,1.0
HOXD3,TCF21,1.0
TCF21,NR1H4,1.0
HOXD3,ESR2,1.0
HOXD3,ESR2,1.0
HOXD3,USF3,1.0
HOXD3,ZNF578,1.0
HOXD3,ZNF578,1.0
PAX3,USF3,1.0
PAX3,ZNF578,1.0
PAX3,ZNF578,1.0
HOXA13,HOXD13,1.0
HOXA13,ESRRB,1.0
HOXA13,ESRRB,1.0
HOXA13,ZNF543,1.0
SNAI3,USF3,1.0
NCOA3,TCF21,1.0
HOXA13,NR5A2,1.0
HOXA13,FOXG1,1.0
HOXA13,SCML4,1.0
HOXA13,SCML4,1.0
HOXA13,SCML4,1.0
HOXA13,FOXR2,1.0
HOXA13,NR1I2,1.0
HOXA13,TCF21,1.0
HOXA13,TCF21,1.0
HOXA13,ESR2,1.0
HOXA13,ZNF578,1.0
HOXA13,NR1H4,1.0
GATA5,USF3,1.0
HOXA13,SNAI3,1.0
ZNF543,SNAI3,1.0
HOXD3,SNAI3,1.0
HOXA13,NR1H4,1.0
HOXA13,NR1H4,1.0
HOXA13,ZNF544,1.0
FOXK1,ESRRB,1.0
PAX9,TCF21,1.0
NEUROG1,ZNF578,1.0
HNF1A,SNAI3,1.0
HOXA13,HOXD13,1.0
SNAI3,ZNF578,1.0
NR5A2,SCML4,1.0
ZSCAN30,TCF21,1.0
HOXA13,SCML4,1.0
ZSCAN30,FOXK1,1.0
HOXA13,SCML4,1.0
HOXA13,FOXR2,1.0
HOXA13,NR1I2,1.0
HOXA13,TCF21,1.0
HOXA13,TCF21,1.0
HOXA13,ESR2,1.0
HOXA13,ESR2,1.0
HOXA13,USF3,1.0
HOXA13,ZNF578,1.0
NR5A2,HOXD13,1.0
RBSN,NR1H4,1.0
RBSN,NR1H4,1.0
RBSN,ZNF544,1.0
RBSN,HOXD13,1.0
RBSN,HOXD13,1.0
HOXA13,HOXA13,1.0
HOXA13,ESRRB,1.0
HOXA13,ESRRB,1.0
HOXA13,NR5A2,1.0
HOXA13,NR5A2,1.0
HOXA13,FOXG1,1.0
HOXA13,SCML4,1.0
RBSN,SCML4,1.0
RBSN,FOXR2,1.0
RBSN,NR1I2,1.0
RBSN,TCF21,1.0
RBSN,TCF21,1.0
RBSN,ESR2,1.0
RBSN,ESR2,1.0
RBSN,USF3,1.0
RBSN,ZNF578,1.0
RBSN,ZNF578,1.0
RBSN,NR1H4,1.0
FOXK1,NR1H4,1.0
RBSN,ESRRB,1.0
RBSN,ESRRB,1.0
RBSN,NR5A2,1.0
SNAI3,ESR2,1.0
NEUROG1,ZNF578,1.0
NEUROG1,SCML4,1.0
NR5A2,SNAI3,1.0
FOXK1,NR5A2,1.0
RBSN,NR5A2,1.0
RBSN,FOXG1,1.0
RBSN,SCML4,1.0
RBSN,SCML4,1.0
NEUROG1,NR5A2,1.0
ZSCAN30,ZNF544,1.0
ZSCAN30,HOXD13,1.0
ZSCAN30,HOXD13,1.0
RBSN,HOXA13,1.0
RBSN,HOXA13,1.0
FOXK1,ESRRB,1.0
SCML4,SNAI3,1.0
HOXD12,TCF21,1.0
FOXK1,ESR2,1.0
PAX3,NR1H4,1.0
PAX3,NR1H4,1.0
PAX3,NR1H4,1.0
PAX3,ZNF544,1.0
NEUROG1,USF3,1.0
PAX3,HOXD13,1.0
PAX3,HOXD13,1.0
PAX3,FOXG1,1.0
PAX3,SCML4,1.0
PAX3,SCML4,1.0
ZNF543,TCF21,1.0
HOXD3,TCF21,1.0
PAX3,FOXR2,1.0
PAX3,NR1I2,1.0
PAX3,TCF21,1.0
ZSCAN30,SCML4,1.0
ZSCAN30,FOXR2,1.0
ZSCAN30,NR1I2,1.0
ZSCAN30,TCF21,1.0
ZSCAN30,TCF21,1.0
ZSCAN30,ESR2,1.0
ZSCAN30,ESR2,1.0
SNAI3,NR1H4,1.0
FOXK1,TCF21,1.0
ZSCAN30,USF3,1.0
ZSCAN30,ZNF578,1.0
ZSCAN30,ZNF578,1.0
ZSCAN30,NR1H4,1.0
ZSCAN30,NR1H4,1.0
ZSCAN30,NR1H4,1.0
NEUROG1,HOXD13,1.0
ZNF316,NR1H4,1.0
ZNF316,HOXD13,1.0
ZSCAN30,NR5A2,1.0
ZSCAN30,FOXG1,1.0
ZSCAN30,SCML4,1.0
HOXA13,ZNF544,1.0
FOXK1,HOXD13,1.0
ZSCAN30,SCML4,1.0
TCF21,NR1H4,1.0
SCML4,TCF21,1.0
NEUROG1,TCF21,1.0
MTERF3,HOXD13,1.0
IRF4,NR1H4,1.0
IRF4,ZNF544,1.0
IRF4,HOXD13,1.0
IRF4,HOXD13,1.0
ZSCAN30,RBSN,1.0
ZSCAN30,HOXA13,1.0
ZSCAN30,HOXA13,1.0
ZSCAN30,ESRRB,1.0
ZSCAN30,ESRRB,1.0
ZSCAN30,NR5A2,1.0
PAX3,TCF21,1.0
PAX3,ESR2,1.0
PAX3,ESR2,1.0
HOXD3,NR1H4,1.0
HOXD3,NR1H4,1.0
HOXD3,NR1H4,1.0
HOXD3,HOXD13,1.0
HOXD3,HOXD13,1.0
ZFP90,TCF21,1.0
NEUROG1,TCF21,1.0
GATA5,HOXD13,1.0
IRF4,SCML4,1.0
IRF4,SCML4,1.0
IRF4,FOXR2,1.0
IRF4,NR1I2,1.0
IRF4,TCF21,1.0
IRF4,TCF21,1.0
IRF4,ESR2,1.0
IRF4,ESR2,1.0
IRF4,USF3,1.0
IRF4,ZNF578,1.0
IRF4,ZNF578,1.0
IRF4,NR1H4,1.0
IRF4,NR1H4,1.0
NR5A2,TCF21,1.0
NANOG,HOXD13,1.0
IRF4,HOXA13,1.0
IRF4,HOXA13,1.0
IRF4,ESRRB,1.0
IRF4,ESRRB,1.0
IRF4,NR5A2,1.0
IRF4,FOXG1,1.0
RBSN,FOXK1,1.0
NEUROG1,SNAI3,1.0
ESRRB,TCF21,1.0
PAX9,SNAI3,1.0
BNC1,NR1H4,1.0
BNC1,NR1H4,1.0
BNC1,ZNF544,1.0
BNC1,HOXD13,1.0
BNC1,HOXD13,1.0
IRF4,RBSN,1.0
MTERF3,HOXD13,1.0
FOXK1,SNAI3,1.0
NANOG,NR1H4,1.0
NANOG,HOXD13,1.0
HOXD3,FOXG1,1.0
HOXD3,SCML4,1.0
HOXD3,SCML4,1.0
HOXD3,FOXR2,1.0
MTERF3,NR1H4,1.0
FOXK1,SCML4,1.0
HNF1A,NR1H4,1.0
HNF1A,NR1H4,1.0
HNF1A,ZNF544,1.0
HNF1A,HOXD13,1.0
BNC1,TCF21,1.0
BNC1,TCF21,1.0
BNC1,ESR2,1.0
BNC1,ESR2,1.0
HOXD3,TCF21,1.0
IRF4,TCF21,1.0
BNC1,USF3,1.0
BNC1,ZNF578,1.0
BNC1,ZNF578,1.0
BNC1,NR1H4,1.0
PAX3,SNAI3,1.0
FOXK1,FOXG1,1.0
NEUROG1,HOXD13,1.0
FOXK1,NR1H4,1.0
TLX3,NR1H4,1.0
TLX3,NR1H4,1.0
TLX3,HOXD13,1.0
TLX3,HOXD13,1.0
HOXA13,NR5A2,1.0
NEUROG1,NR1H4,1.0
BNC1,NR5A2,1.0
BNC1,FOXG1,1.0
BNC1,SCML4,1.0
BNC1,SCML4,1.0
BNC1,FOXR2,1.0
BNC1,NR1I2,1.0
PAX9,ZNF544,1.0
PAX9,HOXD13,1.0
PAX9,HOXD13,1.0
BNC1,RBSN,1.0
BNC1,HOXA13,1.0
BNC1,HOXA13,1.0
BNC1,ESRRB,1.0
BNC1,ESRRB,1.0
TLX3,ZNF578,1.0
GATA5,ZNF578,1.0
HNF1A,HOXD13,1.0
LHX4,TCF21,1.0
HNF1A,SCML4,1.0
HNF1A,FOXR2,1.0
HNF1A,NR1I2,1.0
HNF1A,TCF21,1.0
HNF1A,TCF21,1.0
HNF1A,ESR2,1.0
HNF1A,ESR2,1.0
FOXK1,SCML4,1.0
FOXK1,ZNF544,1.0
HNF1A,TCF21,1.0
GATA5,HOXD13,1.0
HNF1A,USF3,1.0
HNF1A,ZNF578,1.0
HNF1A,ZNF578,1.0
PAX9,FOXR2,1.0
PAX9,NR1I2,1.0
PAX9,TCF21,1.0
PAX9,TCF21,1.0
PAX9,ESR2,1.0
PAX9,ESR2,1.0
PAX9,USF3,1.0
PAX9,ZNF578,1.0
PAX9,ZNF578,1.0
NEUROG1,FOXG1,1.0
SNAI3,ESR2,1.0
GATA5,NR1H4,1.0
PAX9,NR1H4,1.0
PAX9,NR1H4,1.0
PAX9,NR1H4,1.0
FOXG1,SNAI3,1.0
PAX9,FOXG1,1.0
PAX9,SCML4,1.0
HNF1A,SNAI3,1.0
PAX9,SCML4,1.0
HNF1A,NR1H4,1.0
PRDM5,TCF21,1.0
NEUROG1,FOXR2,1.0
NR1I2,TCF21,1.0
HOXD3,NR1I2,1.0
HOXD3,TCF21,1.0
HOXD3,TCF21,1.0
HOXD3,ESR2,1.0
HOXD3,ESR2,1.0
HOXD3,USF3,1.0
HOXD3,ZNF578,1.0
HOXD3,ZNF578,1.0
HOXD3,NR1H4,1.0
HOXD3,NR1H4,1.0
HOXD3,NR1H4,1.0
HOXD3,ZNF544,1.0
PAX9,NR1H4,1.0
PAX9,NR1H4,1.0
PAX9,NR1H4,1.0
PAX9,ZNF544,1.0
PAX9,HOXD13,1.0
PAX9,HOXD13,1.0
ZSCAN30,SNAI3,1.0
PAX3,TCF21,1.0
SNAI3,TCF21,1.0
NR5A2,FOXR2,1.0
MTERF3,TCF21,1.0
FOXK1,NR1I2,1.0
PAX9,TCF21,1.0
PAX9,TCF21,1.0
PAX9,ESR2,1.0
PAX9,ESR2,1.0
PAX9,USF3,1.0
PAX9,ZNF578,1.0
PAX9,ZNF578,1.0
ESRRB,SNAI3,1.0
LHX4,ZNF578,1.0
LHX4,NR1H4,1.0
LHX4,NR1H4,1.0
LHX4,NR1H4,1.0
PAX9,ESRRB,1.0
PAX9,ESRRB,1.0
SNAI3,NR1H4,1.0
PAX9,NR5A2,1.0
PAX9,FOXG1,1.0
PAX9,SCML4,1.0
PAX9,SCML4,1.0
PAX9,FOXR2,1.0
PAX9,NR1I2,1.0
PAX9,RBSN,1.0
PAX9,HOXA13,1.0
LHX4,HOXD13,1.0
LHX4,HOXD13,1.0
GATA5,NR1H4,1.0
FOXG1,TCF21,1.0
LHX4,ESR2,1.0
LHX4,ESR2,1.0
LHX4,USF3,1.0
HNF1A,FOXG1,1.0
HNF1A,SCML4,1.0
HOXD3,HOXD13,1.0
HOXD3,HOXD13,1.0
FOXK1,TCF21,1.0
ESRRB,SNAI3,1.0
TLX3,TCF21,1.0
SNAI3,TCF21,1.0
HNF1A,ZNF578,1.0
HNF1A,ZNF578,1.0
HNF1A,NR1H4,1.0
ZFP90,ZNF578,1.0
ZFP90,NR1H4,1.0
LHX4,TCF21,1.0
TCF21,TCF21,1.0
GATA5,TCF21,1.0
PRDM5,SNAI3,1.0
IRF4,FOXK1,1.0
NR5A2,TCF21,1.0
ZFP90,NR1H4,1.0
ZFP90,NR1H4,1.0
ZFP90,HOXD13,1.0
ZFP90,HOXD13,1.0
HOXA13,SNAI3,1.0
SNAI3,ZNF578,1.0
HOXA13,TCF21,1.0
ZFP90,ESR2,1.0
ZFP90,ESR2,1.0
ZFP90,USF3,1.0
HNF1A,NR1H4,1.0
HNF1A,NR1H4,1.0
HNF1A,ZNF544,1.0
HNF1A,HOXD13,1.0
HNF1A,HOXD13,1.0
HNF1A,SCML4,1.0
TCF21,TCF21,1.0
FOXR2,TCF21,1.0
HNF1A,NR1I2,1.0
HNF1A,TCF21,1.0
FOXK1,NR1H4,1.0
PAX9,SNAI3,1.0
FOXK1,NR5A2,1.0
PRDM5,ZNF544,1.0
PRDM5,HOXD13,1.0
PRDM5,HOXD13,1.0
NEUROG1,ESRRB,1.0
NEUROG1,NR1H4,1.0
SNAI3,TCF21,1.0
HNF1A,ESR2,1.0
HNF1A,ESR2,1.0
HNF1A,USF3,1.0
PRDM5,ESRRB,1.0
PRDM5,NR5A2,1.0
PRDM5,FOXG1,1.0
TCF21,NR1H4,1.0
HOXA13,TCF21,1.0
ESRRB,TCF21,1.0
RBSN,TCF21,1.0
PRDM5,SCML4,1.0
PRDM5,SCML4,1.0
PRDM5,FOXR2,1.0
PRDM5,NR1I2,1.0
PRDM5,TCF21,1.0
PRDM5,TCF21,1.0
PRDM5,ESR2,1.0
PRDM5,ESR2,1.0
PRDM5,USF3,1.0
PRDM5,ZNF578,1.0
PRDM5,ZNF578,1.0
PRDM5,NR1H4,1.0
PRDM5,NR1H4,1.0
PRDM5,NR1H4,1.0
TCF21,HOXD13,1.0
FOXG1,USF3,1.0
FOXG1,ZNF578,1.0
FOXG1,ZNF578,1.0
FOXG1,NR1H4,1.0
FOXG1,NR1H4,1.0
FOXG1,NR1H4,1.0
FOXG1,ZNF544,1.0
FOXG1,HOXD13,1.0
FOXG1,HOXD13,1.0
SCML4,SCML4,1.0
SCML4,SCML4,1.0
PAX3,ESR2,1.0
PAX3,ESR2,1.0
PAX3,USF3,1.0
PAX3,ZNF578,1.0
SCML4,ESR2,1.0
SCML4,USF3,1.0
SCML4,ZNF578,1.0
SCML4,ZNF578,1.0
SCML4,NR1H4,1.0
SCML4,NR1H4,1.0
SCML4,NR1H4,1.0
SCML4,ZNF544,1.0
SCML4,HOXD13,1.0
FOXG1,TCF21,1.0
FOXG1,ESR2,1.0
FOXG1,ESR2,1.0
HOXD3,SNAI3,1.0
FOXK1,SCML4,1.0
SNAI3,NR1H4,1.0
SNAI3,ZNF544,1.0
GATA5,ESR2,0.9999999
PRDM5,HOXA13,0.9999999
PRDM5,ESRRB,0.9999999
ZFP90,FOXG1,0.9999999
ZFP90,SCML4,0.9999999
PRDM5,RBSN,0.9999999
NCOA3,HOXD13,0.9999999
NCOA3,HOXD13,0.9999999
GATA5,ESR2,0.9999999
HNF1A,NR5A2,0.9999999
HNF1A,FOXG1,0.9999999
HNF1A,SCML4,0.9999999
HNF1A,FOXR2,0.9999999
HNF1A,TCF21,0.9999999
NCOA3,ZNF578,0.9999999
NCOA3,NR1H4,0.9999999
PAX9,HOXA13,0.9999999
LHX4,ZNF544,0.9999999
LHX4,TCF21,0.9999999
NCOA3,NR1H4,0.9999999
ZFP90,NR1I2,0.9999999
ZFP90,TCF21,0.9999999
ZFP90,ZNF578,0.9999999
HNF1A,NR5A2,0.9999999
ZFP90,ZNF544,0.9999999
PRDM5,FOXK1,0.9999999
IRF4,NR5A2,0.9999999
IRF4,ZSCAN30,0.9999999
MTERF3,NR1H4,0.9999999
NANOG,ZNF578,0.9999999
NEUROG1,HOXA13,0.9999999
LHX4,NR1H4,0.9999999
LHX4,HOXD13,0.9999999
LHX4,HOXD13,0.9999999
LHX4,NR1H4,0.9999999
PAX9,NR5A2,0.9999999
LHX4,ZNF578,0.9999999
LHX4,NR1H4,0.9999999
TLX3,NR1H4,0.9999999
TLX3,USF3,0.9999999
BNC1,NR5A2,0.9999999
NEUROG1,ESRRB,0.9999999
MTERF3,ZNF578,0.9999999
LHX4,SCML4,0.9999999
PAX9,NR5A2,0.9999999
LHX4,ZNF578,0.9999999
HOXD12,HOXD13,0.9999999
RBSN,ZNF543,0.9999999
HOXD12,NR1H4,0.9999999
HOXD12,NR1H4,0.9999999
ZNF85,NR1H4,0.9999999
ZFP90,SNAI3,0.9999999
HOXD12,ZNF578,0.9999999
ZNF543,SCML4,0.9999999
HOXD3,NR5A2,0.9999999
PAX3,ESRRB,0.9999999
MTERF3,NR1H4,0.9999999
ZNF543,NR5A2,0.9999999
HOXD3,ESRRB,0.9999999
ZNF85,HOXD13,0.9999999
HOXA13,ZNF543,0.9999999
ZNF391,TCF21,0.9999999
LHX4,SNAI3,0.9999999
PAX3,NR5A2,0.9999999
ZNF316,ZNF578,0.9999999
ZNF316,NR1H4,0.9999999
ZNF316,NR1H4,0.9999999
IRF4,SCML4,0.9999999
NEUROG1,FOXK1,0.9999999
NANOG,NR1H4,0.9999999
HOXD3,NR5A2,0.9999999
HOXD3,ESRRB,0.9999999
NANOG,NR1H4,0.9999999
PAX3,ESRRB,0.9999999
ZNF429,TCF21,0.9999999
BNC1,SCML4,0.9999999
BNC1,IRF4,0.9999999
BNC1,ZSCAN30,0.9999999
ZSCAN30,ZNF543,0.9999999
ZNF316,HOXD13,0.9999999
NEUROG1,RBSN,0.9999999
HOXD12,HOXD13,0.9999999
ZNF429,HOXD13,0.99999976
NEUROG1,HOXA13,0.99999976
HOXD3,HOXA13,0.99999976
ZNF429,HOXD13,0.99999976
HOXD3,RBSN,0.99999976
PAX3,FOXK1,0.99999976
TCF21,TCF21,0.99999976
ZFP90,TCF21,0.99999976
ZFP90,SCML4,0.99999976
HNF1A,ESRRB,0.99999976
MTERF3,USF3,0.99999976
LHX4,TCF21,0.99999976
NCOA3,NR1H4,0.99999976
ZFP90,FOXR2,0.99999976
PAX9,ZSCAN30,0.99999976
PRDM5,HOXA13,0.99999976
LHX4,NR1I2,0.99999976
PAX3,RBSN,0.99999976
PAX3,HOXA13,0.99999976
PAX3,ESRRB,0.99999976
GATA5,SCML4,0.99999976
HOXD3,RBSN,0.99999976
HOXD3,ESRRB,0.99999976
TLX3,ESR2,0.99999976
TLX3,ESR2,0.99999976
NANOG,USF3,0.99999976
LHX4,FOXR2,0.99999976
HOXD3,HOXA13,0.99999976
LHX4,SCML4,0.99999976
GATA5,ZNF544,0.99999976
PAX9,SCML4,0.99999976
PAX9,IRF4,0.99999976
LHX4,USF3,0.99999976
PAX9,ESRRB,0.99999976
GATA5,TCF21,0.99999976
LHX4,FOXG1,0.99999976
ZNF429,NR1H4,0.99999976
HOXD12,NR1H4,0.99999976
ZNF85,NR1H4,0.99999976
GATA5,SNAI3,0.99999976
ZNF316,USF3,0.99999976
ZNF85,HOXD13,0.99999976
GATA5,ZNF578,0.99999964
ZFP90,NR5A2,0.99999964
