From,To
206900_x_at,ZNF253
1552851_at,ZSCAN4
224889_at,FOXO3
205287_s_at,TFAP2C
224017_at,TBX22
1568287_at,HMGA2
204020_at,PURA
243076_x_at,GLI4
243800_at,NR1H4
240627_x_at,MSANTD4
237008_at,POU3F3
230914_at,HNF4A
209602_s_at,GATA3
228344_s_at,TBX3
1556960_a_at,ANHX
1554776_at,ZFP42
207398_at,HOXD13
236950_s_at,ZNF572
207726_at,ESRRB
1553156_at,LHX4
235910_x_at,ZNF316
220497_at,ZNF214
221278_at,HOXB8
200049_at,KAT7
221441_at,GSC2
234938_at,BACH1
204653_at,TFAP2A
221161_at,ASCL3
231906_at,HOXD8
211273_s_at,TBX1
210515_at,HNF1A
226461_at,HOXB9
215551_at,ESR1
1563542_a_at,SCML4
238808_at,HOXA13
1559796_at,EBF3
217020_at,RARB
214108_at,MAX
229314_at,ZNF181
207893_at,SRY
237711_at,ZNF705G
241760_x_at,RORA
1559277_at,TCF21
217283_at,SHOX2
1562244_at,ZNF578
208239_at,FOXE1
214904_at,ZNF41
228687_at,ZNF777
